notice,url,stack,company,information.Position,information.Employment Type,information.Experiences,information.Company Size,information.Principal Services,information.Period,information.Work Location,information.Salary
시니어 프론트엔드 엔지니어,https://programmers.co.kr/job_positions/7700,"['React Native', 'TypeScript', 'JavaScript']",보이스루,"프론트엔드, 웹 풀스택",Full-time,2 ~ 7years,50,"자메이크, 밍글로, 파노플레이",from 2021-10-15 13:49 to 2021-10-31 23:59,"서울 서초구 강남대로 311, 13층 1301호(서초동)",4500 ~ 8000 만원
백엔드 개발자,https://programmers.co.kr/job_positions/7699,"['Apache Kafka', 'Git', 'JIRA', 'C++', 'Kubernetes', 'Python']",딥서치,서버/백엔드,Full-time,3 ~ 10years,20,,from 2021-10-15 13:22 to 2021-12-31 13:22,"서울 영등포구 국제금융로 10, (여의도동) TWO IFC, 15F 딥서치",5000 ~ 10000 만원
VP of Engineering (VPE),https://programmers.co.kr/job_positions/7698,[],딥서치,"서버/백엔드, 프론트엔드, 웹 풀스택",Full-time,7 ~ 25years,20,,from 2021-10-15 13:09 to 2021-12-31 13:10,"서울 영등포구 국제금융로 10, (여의도동) TWO IFC, 15F 딥서치",7000 ~ 15000 만원
프론트엔드 개발자,https://programmers.co.kr/job_positions/4329,"['Next.js', 'React Hooks API', 'React Native', 'ES6', 'Webpack', 'JavaScript', 'CSS', 'HTML', 'Node.js', 'jQuery', 'ReactJS']",아레나캐스트,"프론트엔드, 웹 풀스택, 모바일 게임",Full-time,3 ~ 15years,27,,Without deadline,"서울 강남구 영동대로 701, (청담동) 11층",3000 ~ 6000 만원
백엔드 개발자,https://programmers.co.kr/job_positions/4328,"['MariaDB', 'AWS EC2', 'Amazon Web Services(AWS)', 'JavaScript', 'Node.js', 'Spring', 'MySQL', 'Java']",아레나캐스트,"서버/백엔드, 웹 풀스택, 게임 서버",Full-time,3 ~ 15years,27,,Without deadline,"서울 강남구 영동대로 701, (청담동) 11층",3000 ~ 6000 만원
웹 풀스택 개발자,https://programmers.co.kr/job_positions/7697,"['Vue.js', 'Webpack', 'ReactJS', 'Node.js', 'MySQL', 'JavaScript', 'HTML', 'Git', 'CSS']",아레나캐스트,"서버/백엔드, 프론트엔드, 웹 풀스택",Full-time,5 ~ 15years,27,,Without deadline,"서울 강남구 영동대로 701, (청담동) 11층",
백엔드 개발자,https://programmers.co.kr/job_positions/4678,"['Python', 'Amazon Web Services(AWS)', 'Django']",데이터뱅크,서버/백엔드,Full-time,3 ~ 10years,23,TestGlider,Without deadline,"서울 강남구 논현로75길 8, (역삼동)",1 ~ 10000 만원
프론트앤드 개발자,https://programmers.co.kr/job_positions/4679,"['Redux.js', 'Next.js', 'ReactJS']",데이터뱅크,프론트엔드,Full-time,3 ~ 10years,23,TestGlider,Without deadline,"서울 강남구 논현로75길 8, (역삼동)",1 ~ 10000 만원
개발 팀장 (Engineering Manager),https://programmers.co.kr/job_positions/7431,[],데이터뱅크,웹 풀스택,Full-time,2 ~ 15years,23,TestGlider,from 2021-09-24 19:00 to 2021-11-30 10:28,"서울 강남구 논현로75길 8, (역삼동)",1 ~ 10000 만원
시니어 백엔드 개발자 (Senior Back-end Engineer),https://programmers.co.kr/job_positions/7479,"['Node.js', 'Django']",데이터뱅크,서버/백엔드,Full-time,5 ~ 15years,23,TestGlider,from 2021-09-24 19:00 to 2021-11-30 10:28,"서울 강남구 논현로75길 8, (역삼동)",1 ~ 10000 만원
Test Automation Engineer,https://programmers.co.kr/job_positions/7006,"['Selenium', 'Cypress', 'Jest', 'Python', 'JavaScript', 'CircleCI']",데이터뱅크,QA,Full-time,3 ~ 10years,23,TestGlider,from 2021-08-26 19:00 to 2021-11-30 10:28,"서울 강남구 논현로75길 8, (역삼동)",1 ~ 10000 만원
[옐로우버스] iOS개발자,https://programmers.co.kr/job_positions/7072,"['REST API', 'iOS', 'Swift']",리버스랩,아이폰 앱,Full-time,2 ~ 5years,49,,Without deadline,"서울시 서초구 강남대로 311, 드림플러스 강남 17층",
